District_Eng,Taluka_Eng,No_Of_Victims_Shifted,Avg_No_Of_Ambulance,Cardiac,Pregnancy,Respiratory,Trauma,Others,AsOnDt
Chhotaudepur,Pavi Jetpur,141,1,1,82,4,13,15,5/31/2019 0:00
Chhotaudepur,Pavi Jetpur,153,1,4,88,4,12,19,5/31/2019 0:00
Chhotaudepur,Pavi Jetpur,191,1,8,96,13,20,23,5/31/2019 0:00
Chhotaudepur,Sankheda,215,1,4,107,6,42,25,5/31/2019 0:00
Chhotaudepur,Sankheda,186,1,1,110,5,12,31,5/31/2019 0:00
Dahod,Dahod,255,1,4,144,8,19,20,5/31/2019 0:00
Dahod,Dahod,280,1,4,169,16,16,26,5/31/2019 0:00
Dahod,Dahod,297,1,5,108,19,32,28,5/31/2019 0:00
Dahod,Dahod,289,1,2,129,22,27,28,5/31/2019 0:00
Dahod,Dahod,172,1,1,96,3,2,23,5/31/2019 0:00
Dahod,Devgadh-Bariya,0,1,0,0,0,0,0,5/31/2019 0:00
Dahod,Devgadh-Bariya,206,1,5,76,7,29,38,5/31/2019 0:00
Dahod,Devgadh-Bariya,168,1,4,68,10,19,19,5/31/2019 0:00
Dahod,Dhanpur,190,1,1,106,7,21,25,5/31/2019 0:00
Dahod,Fatehpura,167,1,2,89,3,9,25,5/31/2019 0:00
Dahod,Fatehpura,246,1,6,145,8,16,32,5/31/2019 0:00
Dahod,Fatehpura,229,1,3,128,4,19,33,5/31/2019 0:00
Dahod,Garbada,278,1,3,175,12,8,19,5/31/2019 0:00
Dahod,Garbada,273,1,4,151,6,20,26,5/31/2019 0:00
Dahod,Jhalod,164,1,1,96,2,4,17,5/31/2019 0:00
Dahod,Jhalod,198,1,1,117,6,15,20,5/31/2019 0:00
Dahod,Jhalod,154,1,1,108,1,8,16,5/31/2019 0:00
Dahod,Jhalod,237,1,5,112,15,27,22,5/31/2019 0:00
Dahod,Jhalod,201,1,6,98,9,8,17,5/31/2019 0:00
Dahod,Jhalod,212,1,4,108,6,21,33,5/31/2019 0:00
Dahod,Jhalod,202,1,3,105,5,18,21,5/31/2019 0:00
Dahod,Limkheda,167,1,1,79,4,20,29,5/31/2019 0:00
Dahod,Limkheda,236,1,3,100,3,37,55,5/31/2019 0:00
Dahod,Limkheda,154,1,1,70,5,21,23,5/31/2019 0:00
Dahod,Sanjeli,211,1,4,99,0,10,64,5/31/2019 0:00
Devbhumi-Dwarka,Bhanvad,127,1,6,72,1,9,7,5/31/2019 0:00
Devbhumi-Dwarka,Kalyanpur,79,1,3,46,7,3,7,5/31/2019 0:00
Devbhumi-Dwarka,Kalyanpur,102,1,10,61,1,7,7,5/31/2019 0:00
Devbhumi-Dwarka,Kalyanpur,177,1,8,104,4,17,15,5/31/2019 0:00
Devbhumi-Dwarka,Khambhalia,188,1,11,80,7,26,17,5/31/2019 0:00
Devbhumi-Dwarka,Okhamandal/Dwarka,2,1,1,0,1,0,0,5/31/2019 0:00
Devbhumi-Dwarka,Okhamandal/Dwarka,164,1,3,53,4,24,21,5/31/2019 0:00
Devbhumi-Dwarka,Okhamandal/Dwarka,157,1,10,60,7,9,11,5/31/2019 0:00
Devbhumi-Dwarka,Okhamandal/Dwarka,122,1,6,53,8,5,7,5/31/2019 0:00
Gandhinagar,Dehgam,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Dehgam,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Dehgam,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Gandhinagar,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Gandhinagar,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Gandhinagar,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Gandhinagar,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Gandhinagar,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Gandhinagar,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Kalol,236,1,11,99,5,27,45,5/31/2019 0:00
Gandhinagar,Mansa,0,1,0,0,0,0,0,5/31/2019 0:00
Gandhinagar,Mansa,0,1,0,0,0,0,0,5/31/2019 0:00
Gir Somnath,Kodinar,178,1,6,77,3,45,25,5/31/2019 0:00
Gir Somnath,Kodinar,204,1,13,122,5,34,13,5/31/2019 0:00
Gir Somnath,Patan-Veraval,160,1,6,52,6,24,35,5/31/2019 0:00
Gir Somnath,Patan-Veraval,160,1,5,65,4,27,36,5/31/2019 0:00
Gir Somnath,Sutrapada,185,1,13,101,7,29,17,5/31/2019 0:00
Gir Somnath,Sutrapada,125,1,19,42,8,8,11,5/31/2019 0:00
Gir Somnath,Talala,154,1,10,89,10,16,9,5/31/2019 0:00
Gir Somnath,Una,177,1,9,117,3,9,17,5/31/2019 0:00
Gir Somnath,Una,151,1,1,100,2,21,17,5/31/2019 0:00
Gir Somnath,Una,174,1,0,123,6,10,18,5/31/2019 0:00
Gir Somnath,Una,265,1,4,170,1,30,38,5/31/2019 0:00
Gir Somnath,Una,86,1,2,52,0,9,14,5/31/2019 0:00
Jamnagar,Dhrol,75,1,9,31,1,14,9,5/31/2019 0:00
Jamnagar,Dhrol,63,1,2,15,1,13,10,5/31/2019 0:00
Jamnagar,Jamjodhpur,152,1,8,86,3,6,20,5/31/2019 0:00
Jamnagar,Jamnagar City,115,1,7,15,5,22,23,5/31/2019 0:00
Jamnagar,Jamnagar City,215,1,13,65,5,29,37,5/31/2019 0:00
Jamnagar,Jamnagar City,86,1,6,28,5,6,19,5/31/2019 0:00
Jamnagar,Jamnagar City,292,1,18,58,15,31,60,5/31/2019 0:00
Jamnagar,Jamnagar City,284,1,31,39,20,23,77,5/31/2019 0:00
Jamnagar,Jamnagar City,96,1,6,30,3,16,8,5/31/2019 0:00
Jamnagar,Jamnagar City,221,1,23,29,25,21,49,5/31/2019 0:00
Jamnagar,Jamnagar City,178,1,10,72,5,14,24,5/31/2019 0:00
Jamnagar,Jodiya,76,1,0,34,2,5,14,5/31/2019 0:00
Jamnagar,Kalavad,114,1,4,53,3,12,19,5/31/2019 0:00
Jamnagar,Lalpur,109,1,7,47,2,12,11,5/31/2019 0:00
Junagadh,Bhesan,283,1,12,141,6,8,92,5/31/2019 0:00
Junagadh,Junagadh City,155,1,4,102,5,10,15,5/31/2019 0:00
Junagadh,Junagadh City,309,1,37,34,21,35,61,5/31/2019 0:00
Junagadh,Junagadh City,255,1,24,41,14,26,51,5/31/2019 0:00
Junagadh,Keshod,291,1,14,132,12,37,49,5/31/2019 0:00
Junagadh,Maliya-Hatina,201,1,8,103,4,21,34,5/31/2019 0:00
Junagadh,Maliya-Hatina,0,1,0,0,0,0,0,5/31/2019 0:00
Junagadh,Manavadar,257,1,16,115,4,20,52,5/31/2019 0:00
Junagadh,Mangrol,222,1,8,122,3,19,49,5/31/2019 0:00
Junagadh,Mangrol,152,1,3,59,4,11,9,5/31/2019 0:00
Junagadh,Mendarda,194,1,19,43,10,12,60,5/31/2019 0:00
Junagadh,Vanthali,219,1,22,93,6,18,40,5/31/2019 0:00
Junagadh,Visavadar,264,1,13,131,4,17,61,5/31/2019 0:00
Kachchh,Abdasa,114,1,7,51,2,5,33,5/31/2019 0:00
Kachchh,Abdasa,149,1,3,51,2,4,79,5/31/2019 0:00
Kachchh,Abdasa,134,1,8,59,1,3,50,5/31/2019 0:00
Kachchh,Abdasa,126,1,2,73,2,7,32,5/31/2019 0:00
Kachchh,Anjar,228,1,2,125,9,27,49,5/31/2019 0:00
Kachchh,Anjar,180,1,3,115,5,8,31,5/31/2019 0:00
Kachchh,Bhachau,158,1,1,81,4,21,33,5/31/2019 0:00
Kachchh,Bhachau,117,1,5,53,8,2,7,5/31/2019 0:00
Kachchh,Bhachau,146,1,5,96,1,23,8,5/31/2019 0:00
Kachchh,Bhuj,153,1,2,102,6,1,4,5/31/2019 0:00
Kachchh,Bhuj,209,1,5,55,11,19,85,5/31/2019 0:00
Kachchh,Bhuj,263,1,15,64,15,22,92,5/31/2019 0:00
Kachchh,Bhuj,170,1,3,105,9,4,7,5/31/2019 0:00
Kachchh,Dayapar (Lakhpat),146,1,2,81,0,9,13,5/31/2019 0:00
Kachchh,Dayapar (Lakhpat),111,1,2,51,3,7,20,5/31/2019 0:00
Kachchh,Gandhidham,245,1,5,76,9,27,90,5/31/2019 0:00
Kachchh,Gandhidham,267,1,6,126,3,29,83,5/31/2019 0:00
Kachchh,Mandvi,75,1,0,21,4,16,10,5/31/2019 0:00
Kachchh,Mundra,166,1,6,86,2,22,33,5/31/2019 0:00
Kachchh,Nakhatrana,136,1,3,82,5,2,25,5/31/2019 0:00
Kachchh,Nakhatrana,245,1,9,88,10,11,80,5/31/2019 0:00
Kachchh,Nakhatrana,116,1,4,43,4,13,34,5/31/2019 0:00
Kachchh,Nakhatrana,119,1,1,78,6,9,5,5/31/2019 0:00
Kachchh,Rapar,148,1,0,114,2,9,16,5/31/2019 0:00
Kachchh,Rapar,139,1,1,94,6,5,9,5/31/2019 0:00
Kachchh,Rapar,170,1,3,116,4,18,12,5/31/2019 0:00
Kheda,Kapadvanj,130,1,5,65,6,26,10,5/31/2019 0:00
Kheda,Kapadvanj,145,1,3,82,5,19,11,5/31/2019 0:00
Kheda,Kapadvanj,136,1,3,76,6,15,8,5/31/2019 0:00
Kheda,Kathlal,109,1,3,36,5,20,20,5/31/2019 0:00
Kheda,Kathlal,139,1,5,66,6,29,10,5/31/2019 0:00
Kheda,Kheda,163,1,5,76,8,19,15,5/31/2019 0:00
Kheda,Limbasi (Matar),113,1,2,62,5,8,16,5/31/2019 0:00
Kheda,Mahemdavad,129,1,8,44,7,30,18,5/31/2019 0:00
Kheda,Mahemdavad,161,1,13,64,4,27,24,5/31/2019 0:00
Kheda,Mahudha,127,1,7,45,8,21,20,5/31/2019 0:00
Kheda,Nadiad,187,1,4,36,20,30,42,5/31/2019 0:00
Kheda,Nadiad,200,1,8,78,8,40,32,5/31/2019 0:00
Kheda,Thasara,171,1,3,99,7,15,30,5/31/2019 0:00
Kheda,Thasara,167,1,7,87,6,19,24,5/31/2019 0:00
Mahesana,Becharaji,101,1,0,31,2,13,43,5/31/2019 0:00
Mahesana,Jotana,126,1,7,78,4,14,14,5/31/2019 0:00
Mahesana,Kadi,100,1,1,30,1,15,39,5/31/2019 0:00
Mahesana,Kadi,84,1,3,15,2,11,36,5/31/2019 0:00
Mahesana,Kheralu,84,1,3,17,0,15,42,5/31/2019 0:00
Mahesana,Mehsana,176,1,2,19,7,33,96,5/31/2019 0:00
Mahesana,Mehsana,135,1,1,84,2,25,16,5/31/2019 0:00
Mahesana,Mehsana,92,1,2,6,5,38,22,5/31/2019 0:00
Mahesana,Satlasana,87,1,1,51,1,5,21,5/31/2019 0:00
Mahesana,Unjha,90,1,2,38,3,20,15,5/31/2019 0:00
Mahesana,Vadnagar,102,1,2,9,2,16,59,5/31/2019 0:00
Mahesana,Vadnagar,72,1,3,14,4,6,27,5/31/2019 0:00
Mahesana,Vijapur,141,1,3,37,2,7,85,5/31/2019 0:00
Mahesana,Vijapur,93,1,1,49,4,13,15,5/31/2019 0:00
Mahesana,Visnagar,129,1,2,38,3,19,48,5/31/2019 0:00
Mahisagar,Balasinor,94,1,1,50,3,16,4,5/31/2019 0:00
Mahisagar,Balasinor,65,1,3,30,2,7,12,5/31/2019 0:00
Mahisagar,Kadana,56,1,2,31,0,4,6,5/31/2019 0:00
Mahisagar,Kadana,39,1,3,17,1,6,5,5/31/2019 0:00
Mahisagar,Khanpur (Vadagam),60,1,8,30,1,8,5,5/31/2019 0:00
Mahisagar,Lunavada,59,1,6,26,1,8,6,5/31/2019 0:00
Mahisagar,Lunavada,83,1,2,38,3,13,14,5/31/2019 0:00
Mahisagar,Lunavada,55,1,4,22,1,5,8,5/31/2019 0:00
Mahisagar,Santrampur,109,1,3,35,3,16,7,5/31/2019 0:00
Mahisagar,Santrampur,76,1,3,42,3,5,7,5/31/2019 0:00
Mahisagar,Santrampur,91,1,4,38,4,9,12,5/31/2019 0:00
Mahisagar,Virpur,74,1,4,31,1,16,7,5/31/2019 0:00
Morbi,Halvad,100,1,1,67,0,14,11,5/31/2019 0:00
Morbi,Maliya,130,1,3,74,1,16,11,5/31/2019 0:00
Morbi,Morvi,73,1,7,33,1,6,5,5/31/2019 0:00
Morbi,Morvi,91,1,2,47,4,9,13,5/31/2019 0:00
Morbi,Morvi,166,1,7,61,2,34,25,5/31/2019 0:00
Morbi,Morvi,159,1,7,56,9,25,25,5/31/2019 0:00
Morbi,Tankara,91,1,6,28,2,23,9,5/31/2019 0:00
Morbi,Wankaner,159,1,8,71,4,22,30,5/31/2019 0:00
Narmada,Dediapada,156,1,3,76,1,18,16,5/31/2019 0:00
Narmada,Dediapada,199,1,5,99,6,30,17,5/31/2019 0:00
Narmada,Dediapada,182,1,4,107,2,36,7,5/31/2019 0:00
Narmada,Dediapada,198,1,3,100,3,15,21,5/31/2019 0:00
Narmada,Garudeshwar,279,1,8,88,12,17,71,5/31/2019 0:00
Narmada,Rajpipla (Nandod),321,1,21,86,9,18,88,5/31/2019 0:00
Narmada,Rajpipla (Nandod),192,1,3,59,8,31,28,5/31/2019 0:00
Narmada,Rajpipla (Nandod),130,1,4,45,5,14,22,5/31/2019 0:00
Narmada,Rajpipla (Nandod),261,1,4,79,15,46,51,5/31/2019 0:00
Narmada,Sagbara,163,1,2,102,2,33,7,5/31/2019 0:00
Narmada,Tilakwada,342,1,4,120,10,21,128,5/31/2019 0:00
Navsari,Chikhli,220,1,13,54,8,50,37,5/31/2019 0:00
Navsari,Chikhli,157,1,12,31,11,29,22,5/31/2019 0:00
Navsari,Gandevi,161,1,5,48,14,20,27,5/31/2019 0:00
Navsari,Gandevi,177,1,3,76,14,16,20,5/31/2019 0:00
Navsari,Jalalpore,179,1,12,34,13,21,34,5/31/2019 0:00
Navsari,Jalalpore,113,1,4,35,5,15,15,5/31/2019 0:00
Navsari,Khergam,185,1,15,37,10,35,30,5/31/2019 0:00
Navsari,Khergam,197,1,12,66,11,38,19,5/31/2019 0:00
Navsari,Navsari,218,1,8,47,18,16,36,5/31/2019 0:00
Navsari,Navsari,198,1,7,57,10,31,24,5/31/2019 0:00
Navsari,Vansada,202,1,5,65,11,28,17,5/31/2019 0:00
Navsari,Vansada,198,1,9,75,10,23,15,5/31/2019 0:00
Navsari,Vansada,215,1,9,42,11,20,37,5/31/2019 0:00
Panchmahals,Ghoghamba,258,1,6,143,3,22,38,5/31/2019 0:00
Panchmahals,Ghoghamba,189,1,3,67,2,39,28,5/31/2019 0:00
Panchmahals,Godhara,0,1,0,0,0,0,0,5/31/2019 0:00
Panchmahals,Godhara,258,1,8,84,6,30,67,5/31/2019 0:00
Panchmahals,Godhara,202,1,6,54,6,27,58,5/31/2019 0:00
Panchmahals,Godhara,248,1,6,89,10,37,37,5/31/2019 0:00
Panchmahals,Godhara,249,1,2,85,16,16,62,5/31/2019 0:00
Panchmahals,Halol,280,1,4,105,23,53,51,5/31/2019 0:00
Panchmahals,Halol,278,1,7,85,8,46,97,5/31/2019 0:00
Panchmahals,Halol,109,1,2,44,0,13,36,5/31/2019 0:00
Panchmahals,Jambughoda,241,1,3,86,3,23,106,5/31/2019 0:00
Panchmahals,Kalol,0,1,0,0,0,0,0,5/31/2019 0:00
Panchmahals,Kalol,0,1,0,0,0,0,0,5/31/2019 0:00
Panchmahals,Morva,193,1,2,91,1,26,30,5/31/2019 0:00
Panchmahals,Morva,228,1,6,88,8,26,58,5/31/2019 0:00
Panchmahals,Shehra,285,1,11,116,11,43,39,5/31/2019 0:00
Patan,Chanasma,89,1,2,21,5,10,38,5/31/2019 0:00
Patan,Harij,94,1,11,34,2,4,35,5/31/2019 0:00
Patan,Patan,73,1,2,16,2,15,20,5/31/2019 0:00
Patan,Patan,78,1,0,36,4,12,20,5/31/2019 0:00
Patan,Radhanpur,89,1,3,47,2,11,18,5/31/2019 0:00
Patan,Sami,90,1,1,38,1,4,42,5/31/2019 0:00
Patan,Sami,68,1,2,43,2,2,15,5/31/2019 0:00
Patan,Sankheshwar,84,1,3,43,0,1,31,5/31/2019 0:00
Patan,Santalpur,57,1,0,36,1,10,6,5/31/2019 0:00
Patan,Santalpur,70,1,1,42,0,5,17,5/31/2019 0:00
Patan,Saraswati,61,1,3,28,2,5,14,5/31/2019 0:00
Patan,Saraswati,70,1,4,29,1,9,22,5/31/2019 0:00
Patan,Siddhpur,78,1,5,18,4,21,13,5/31/2019 0:00
Porbandar,Kutiyana,159,1,5,71,6,14,20,5/31/2019 0:00
Porbandar,Kutiyana,84,1,6,46,1,9,7,5/31/2019 0:00
Porbandar,Porbandar City,116,1,6,49,4,12,13,5/31/2019 0:00
Porbandar,Porbandar City,1,1,0,0,0,0,1,5/31/2019 0:00
Porbandar,Porbandar City,206,1,10,108,5,15,25,5/31/2019 0:00
Porbandar,Porbandar City,206,1,21,45,16,23,39,5/31/2019 0:00
Porbandar,Porbandar City,149,1,16,31,15,22,26,5/31/2019 0:00
Porbandar,Ranavav,154,1,17,42,6,24,19,5/31/2019 0:00
Rajkot,Dhoraji,96,1,4,25,3,13,18,5/31/2019 0:00
Rajkot,Gondal,147,1,11,34,4,42,36,5/31/2019 0:00
Rajkot,Gondal,185,1,9,38,14,25,40,5/31/2019 0:00
Rajkot,Jamkandorna,87,1,7,28,3,12,11,5/31/2019 0:00
Rajkot,Jasdan,136,1,4,84,2,15,9,5/31/2019 0:00
Rajkot,Jasdan,64,1,4,32,1,4,8,5/31/2019 0:00
Rajkot,Jetpur,138,1,8,46,6,32,25,5/31/2019 0:00
Rajkot,Kotada Sanghani,158,1,17,47,7,24,18,5/31/2019 0:00
Rajkot,Lodhika,90,1,1,48,1,15,9,5/31/2019 0:00
Rajkot,Paddhari,122,1,9,50,7,15,19,5/31/2019 0:00
Rajkot,Rajkot City,240,1,20,22,11,36,74,5/31/2019 0:00
Rajkot,Rajkot City,114,1,12,15,5,18,28,5/31/2019 0:00
Rajkot,Rajkot City,228,1,19,43,15,42,49,5/31/2019 0:00
Rajkot,Rajkot City,181,1,20,32,5,28,44,5/31/2019 0:00
Rajkot,Rajkot City,277,1,20,32,19,47,77,5/31/2019 0:00
Rajkot,Rajkot City,149,1,12,60,3,31,19,5/31/2019 0:00
Rajkot,Rajkot City,0,1,0,0,0,0,0,5/31/2019 0:00
Rajkot,Rajkot City,283,1,15,37,21,27,86,5/31/2019 0:00
Rajkot,Rajkot City,212,1,26,22,14,35,61,5/31/2019 0:00
Rajkot,Rajkot City,83,1,2,48,0,12,5,5/31/2019 0:00
Rajkot,Rajkot City,292,1,19,29,26,43,74,5/31/2019 0:00
Rajkot,Upleta,121,1,7,42,7,19,16,5/31/2019 0:00
Rajkot,Vinchhiya,134,1,6,105,3,8,1,5/31/2019 0:00
Sabarkantha,Himmatnagar,70,1,0,20,2,26,7,5/31/2019 0:00
Sabarkantha,Himmatnagar,111,1,8,17,4,21,27,5/31/2019 0:00
Sabarkantha,Idar,83,1,4,26,4,23,10,5/31/2019 0:00
Sabarkantha,Idar,64,1,2,23,4,9,7,5/31/2019 0:00
Sabarkantha,Idar,47,1,4,11,5,5,6,5/31/2019 0:00
Sabarkantha,Khedbrahma,129,1,3,84,3,6,12,5/31/2019 0:00
Sabarkantha,Khedbrahma,126,1,3,93,0,2,9,5/31/2019 0:00
Sabarkantha,Poshina,95,1,1,74,0,6,4,5/31/2019 0:00
Sabarkantha,Prantij,89,1,5,26,3,26,10,5/31/2019 0:00
Sabarkantha,Talod,73,1,5,25,7,7,14,5/31/2019 0:00
Sabarkantha,Vadali,81,1,0,44,1,18,5,5/31/2019 0:00
Sabarkantha,Vijaynagar,66,1,2,21,2,12,9,5/31/2019 0:00
Surat,Bardoli,245,1,10,47,21,32,62,5/31/2019 0:00
Surat,Bardoli,207,1,4,77,12,42,21,5/31/2019 0:00
Surat,Bardoli,124,1,5,36,9,14,13,5/31/2019 0:00
Surat,Chorasi,93,1,3,28,2,21,13,5/31/2019 0:00
Surat,Kamrej,193,1,9,55,8,54,29,5/31/2019 0:00
Surat,Mahuva,114,1,4,75,4,11,6,5/31/2019 0:00
Surat,Mahuva,233,1,12,145,7,17,22,5/31/2019 0:00
Surat,Mahuva,124,1,2,35,8,18,22,5/31/2019 0:00
Surat,Mahuva,140,1,3,90,3,11,14,5/31/2019 0:00
Surat,Mandvi,104,1,6,42,6,8,24,5/31/2019 0:00
Surat,Mandvi,182,1,4,38,9,14,108,5/31/2019 0:00
Surat,Mandvi,193,1,2,46,10,31,14,5/31/2019 0:00
Surat,Olpad,134,1,3,64,4,36,8,5/31/2019 0:00
Surat,Olpad,134,1,3,69,6,20,15,5/31/2019 0:00
Surat,Olpad,76,1,3,31,4,12,10,5/31/2019 0:00
Surat,Palsana,207,1,3,64,8,47,30,5/31/2019 0:00
Surat,Palsana,137,1,1,52,3,32,17,5/31/2019 0:00
Surat,Surat,215,1,12,19,24,46,58,5/31/2019 0:00
Surat,Surat,188,1,12,9,17,44,38,5/31/2019 0:00
Surat,Surat,282,1,17,17,22,48,87,5/31/2019 0:00
Surat,Surat,210,1,12,24,12,45,42,5/31/2019 0:00
Surat,Surat,275,1,10,68,12,28,51,5/31/2019 0:00
Surat,Surat,76,1,5,8,4,4,24,5/31/2019 0:00
Surat,Surat,240,1,16,60,26,22,33,5/31/2019 0:00
Surat,Surat,311,1,24,52,16,30,58,5/31/2019 0:00
Surat,Surat,229,1,19,25,29,39,44,5/31/2019 0:00
Surat,Surat,302,1,22,57,20,38,57,5/31/2019 0:00
Surat,Surat,269,1,15,38,13,27,72,5/31/2019 0:00
Surat,Surat,317,1,10,72,18,25,49,5/31/2019 0:00
Surat,Surat,257,1,15,54,6,33,45,5/31/2019 0:00
Surat,Surat,395,1,12,96,20,34,64,5/31/2019 0:00
Surat,Surat,242,1,17,47,15,32,39,5/31/2019 0:00
Surat,Surat,94,1,5,9,8,13,29,5/31/2019 0:00
Surat,Surat,208,1,11,77,10,14,42,5/31/2019 0:00
Surat,Surat,216,1,13,19,15,60,43,5/31/2019 0:00
Surat,Umarpada,213,1,6,84,4,19,24,5/31/2019 0:00
Surat,Umarpada,186,1,10,39,4,10,16,5/31/2019 0:00
Surat,Umarpada,220,1,9,70,9,11,14,5/31/2019 0:00
Surendranagar,Chotila,166,1,5,79,5,39,22,5/31/2019 0:00
Surendranagar,Chotila,96,1,1,54,2,17,14,5/31/2019 0:00
Surendranagar,Chuda,95,1,4,54,2,13,7,5/31/2019 0:00
Surendranagar,Dasada,95,1,10,50,2,16,5,5/31/2019 0:00
Surendranagar,Dasada,116,1,9,64,9,5,10,5/31/2019 0:00
Surendranagar,Dhrangadhra,125,1,4,51,3,35,16,5/31/2019 0:00
Surendranagar,Lakhtar,73,1,1,44,4,6,7,5/31/2019 0:00
Surendranagar,Limbdi,111,1,6,42,7,24,17,5/31/2019 0:00
Surendranagar,Limbdi,107,1,8,34,2,27,16,5/31/2019 0:00
Surendranagar,Limbdi,59,1,2,23,2,10,12,5/31/2019 0:00
Surendranagar,Muli,52,1,1,31,1,5,6,5/31/2019 0:00
Surendranagar,Muli,84,1,3,48,2,7,8,5/31/2019 0:00
Surendranagar,Sayla,98,1,3,52,4,22,6,5/31/2019 0:00
Surendranagar,Wadhwan,139,1,11,41,4,23,28,5/31/2019 0:00
Surendranagar,Wadhwan,97,1,6,37,4,8,17,5/31/2019 0:00
Tapi,Nizar,135,1,4,69,2,11,8,5/31/2019 0:00
Tapi,Songadh,81,1,6,7,4,7,13,5/31/2019 0:00
Tapi,Songadh,230,1,9,65,12,9,25,5/31/2019 0:00
Tapi,Songadh,256,1,5,57,6,22,47,5/31/2019 0:00
Tapi,Songadh,190,1,11,42,5,9,23,5/31/2019 0:00
Tapi,Uchchhal,163,1,9,43,1,18,17,5/31/2019 0:00
Tapi,Uchchhal,167,1,6,64,2,9,27,5/31/2019 0:00
Tapi,Valod,172,1,5,41,6,23,26,5/31/2019 0:00
Tapi,Vyara,218,1,10,47,7,24,23,5/31/2019 0:00
Tapi,Vyara,221,1,12,60,7,22,23,5/31/2019 0:00
Tapi,Vyara,263,1,10,63,5,43,29,5/31/2019 0:00
The Dangs,Ahwa,251,1,6,79,5,24,35,5/31/2019 0:00
The Dangs,Ahwa,147,1,1,52,8,13,16,5/31/2019 0:00
The Dangs,Ahwa,193,1,3,70,7,20,22,5/31/2019 0:00
The Dangs,Subir,179,1,3,87,6,17,14,5/31/2019 0:00
The Dangs,Subir,213,1,6,94,5,10,34,5/31/2019 0:00
The Dangs,Vaghai,117,1,2,48,1,10,18,5/31/2019 0:00
Vadodara,Dabhoi,193,1,6,107,4,42,10,5/31/2019 0:00
Vadodara,Desar,151,1,2,82,4,20,15,5/31/2019 0:00
Vadodara,Karjan,170,1,10,84,6,31,15,5/31/2019 0:00
Vadodara,Karjan,156,1,6,92,2,16,26,5/31/2019 0:00
Vadodara,Padra,200,1,9,79,13,17,22,5/31/2019 0:00
Vadodara,Padra,221,1,7,116,7,18,28,5/31/2019 0:00
Vadodara,Padra,231,1,11,78,12,35,36,5/31/2019 0:00
Vadodara,Padra,142,1,5,63,5,22,18,5/31/2019 0:00
Vadodara,Savali,203,1,5,83,6,43,25,5/31/2019 0:00
Vadodara,Sinor,137,1,3,58,6,15,17,5/31/2019 0:00
Vadodara,Vadodara City,84,1,5,23,9,11,12,5/31/2019 0:00
Vadodara,Vadodara City,213,1,17,13,20,36,50,5/31/2019 0:00
Vadodara,Vadodara City,203,1,16,47,22,25,36,5/31/2019 0:00
Vadodara,Vadodara City,89,1,6,5,10,14,24,5/31/2019 0:00
Vadodara,Vadodara City,183,1,10,27,17,22,47,5/31/2019 0:00
Vadodara,Vadodara City,196,1,7,45,15,42,36,5/31/2019 0:00
Vadodara,Vadodara City,177,1,11,16,18,25,51,5/31/2019 0:00
Vadodara,Vadodara City,209,1,13,35,32,28,48,5/31/2019 0:00
Vadodara,Vadodara City,220,1,20,11,12,27,64,5/31/2019 0:00
Vadodara,Vadodara City,258,1,13,31,12,27,93,5/31/2019 0:00
Vadodara,Vadodara City,81,1,0,29,4,16,7,5/31/2019 0:00
Vadodara,Vadodara City,166,1,3,74,6,34,20,5/31/2019 0:00
Vadodara,Vadodara City,222,1,13,29,21,45,46,5/31/2019 0:00
Vadodara,Vadodara City,144,1,2,35,11,31,29,5/31/2019 0:00
Vadodara,Vadodara City,206,1,8,39,10,36,49,5/31/2019 0:00
Vadodara,Waghodia,178,1,1,87,2,51,9,5/31/2019 0:00
Vadodara,Waghodia,196,1,2,113,8,24,25,5/31/2019 0:00
Valsad,Dharampur,326,1,6,69,15,32,43,5/31/2019 0:00
Valsad,Dharampur,208,1,4,66,6,8,23,5/31/2019 0:00
Valsad,Dharampur,237,1,3,58,2,8,24,5/31/2019 0:00
Valsad,Dharampur,239,1,7,79,4,16,22,5/31/2019 0:00
Valsad,Dharampur,246,1,6,52,13,9,30,5/31/2019 0:00
Valsad,Kaprada,256,1,7,97,5,23,32,5/31/2019 0:00
Valsad,Kaprada,272,1,8,95,13,24,27,5/31/2019 0:00
Valsad,Kaprada,171,1,1,66,1,6,16,5/31/2019 0:00
Valsad,Kaprada,249,1,7,65,12,38,30,5/31/2019 0:00
Valsad,Kaprada,162,1,1,62,3,11,16,5/31/2019 0:00
Valsad,Kaprada,195,1,5,62,6,16,25,5/31/2019 0:00
Valsad,Pardi,173,1,8,22,11,60,33,5/31/2019 0:00
Valsad,Pardi,165,1,7,21,6,60,30,5/31/2019 0:00
Valsad,Pardi,127,1,4,29,6,32,23,5/31/2019 0:00
Valsad,Umargam,128,1,5,33,8,35,19,5/31/2019 0:00
