District_Eng,No_Of_Victims_Shifted,Cardiac,Pregnancy,Respiratory,Trauma,Others,AsOnDt
Bharuch,184,6,69,3,44,33,11/30/2018 0:00
Bhavnagar,178,22,48,14,26,26,11/30/2018 0:00
Bhavnagar,136,6,76,5,19,10,11/30/2018 0:00
Gir Somnath,180,5,66,7,51,21,11/30/2018 0:00
Jamnagar,164,4,86,7,14,22,11/30/2018 0:00
Jamnagar,319,31,41,30,35,72,11/30/2018 0:00
Narmada,216,3,90,8,33,25,11/30/2018 0:00
Patan,150,1,91,3,4,44,11/30/2018 0:00
Rajkot,135,9,65,2,18,14,11/30/2018 0:00
Rajkot,195,7,119,3,27,8,11/30/2018 0:00
Sabarkantha,130,5,75,4,14,14,11/30/2018 0:00
Surendranagar,102,3,56,6,14,8,11/30/2018 0:00
Vadodara,213,17,77,17,16,27,11/30/2018 0:00
Valsad,209,8,12,18,50,51,11/30/2018 0:00
Ahmedabad,261,31,10,23,24,74,11/30/2018 0:00
Amreli,108,11,30,5,16,17,11/30/2018 0:00
Banaskantha,117,3,28,9,32,15,11/30/2018 0:00
Dahod,142,2,71,1,8,13,11/30/2018 0:00
Patan,120,1,97,2,8,5,11/30/2018 0:00
Porbandar,142,17,52,3,13,25,11/30/2018 0:00
Sabarkantha,147,11,67,7,15,19,11/30/2018 0:00
Surat,107,2,58,2,10,12,11/30/2018 0:00
Vadodara,262,25,12,29,25,64,11/30/2018 0:00
Valsad,140,5,58,1,6,13,11/30/2018 0:00
Ahmedabad,316,25,23,32,31,52,11/30/2018 0:00
Bhavnagar,163,12,49,11,32,21,11/30/2018 0:00
Dahod,291,7,169,15,16,24,11/30/2018 0:00
Devbhumi-Dwarka,211,6,58,5,60,43,11/30/2018 0:00
Gir Somnath,128,7,36,16,19,20,11/30/2018 0:00
Junagadh,296,25,33,28,28,70,11/30/2018 0:00
Junagadh,190,13,66,8,40,22,11/30/2018 0:00
Patan,156,11,31,15,30,27,11/30/2018 0:00
Porbandar,165,7,65,8,28,19,11/30/2018 0:00
Surat,251,5,67,7,35,42,11/30/2018 0:00
Ahmedabad,259,17,33,30,25,61,11/30/2018 0:00
Ahmedabad,137,7,59,2,40,9,11/30/2018 0:00
Ahmedabad,206,11,32,18,24,38,11/30/2018 0:00
Banaskantha,61,0,39,1,2,6,11/30/2018 0:00
Banaskantha,147,4,35,6,15,73,11/30/2018 0:00
Devbhumi-Dwarka,217,11,68,10,37,16,11/30/2018 0:00
Kachchh,140,1,81,1,16,32,11/30/2018 0:00
Porbandar,209,25,39,18,36,40,11/30/2018 0:00
Tapi,221,8,63,4,9,30,11/30/2018 0:00
Ahmedabad,149,6,72,3,30,9,11/30/2018 0:00
Banaskantha,116,2,56,3,19,14,11/30/2018 0:00
Bhavnagar,178,9,98,3,29,17,11/30/2018 0:00
Dahod,186,4,123,5,16,17,11/30/2018 0:00
Dahod,185,0,131,5,13,24,11/30/2018 0:00
Jamnagar,299,14,44,32,16,70,11/30/2018 0:00
Navsari,127,3,34,7,27,22,11/30/2018 0:00
Patan,107,7,84,2,2,6,11/30/2018 0:00
Surat,156,3,57,6,22,24,11/30/2018 0:00
Surat,309,18,66,20,24,57,11/30/2018 0:00
Surat,183,6,59,8,16,14,11/30/2018 0:00
Vadodara,203,7,78,8,49,31,11/30/2018 0:00
Vadodara,137,8,43,15,14,22,11/30/2018 0:00
Ahmedabad,325,25,55,27,17,50,11/30/2018 0:00
Bharuch,263,5,94,4,20,101,11/30/2018 0:00
Jamnagar,56,4,25,1,5,6,11/30/2018 0:00
Surat,149,9,53,2,20,22,11/30/2018 0:00
Surat,306,10,62,23,34,69,11/30/2018 0:00
Vadodara,189,2,84,8,38,26,11/30/2018 0:00
Ahmedabad,281,19,22,36,13,54,11/30/2018 0:00
Ahmedabad,335,24,12,50,46,76,11/30/2018 0:00
Anand,190,3,32,15,60,41,11/30/2018 0:00
Bhavnagar,121,7,47,3,15,23,11/30/2018 0:00
Devbhumi-Dwarka,6,1,3,0,0,1,11/30/2018 0:00
Kachchh,154,6,68,3,1,3,11/30/2018 0:00
Narmada,184,6,84,4,21,21,11/30/2018 0:00
Rajkot,193,7,33,8,31,50,11/30/2018 0:00
Sabarkantha,153,6,52,7,39,17,11/30/2018 0:00
Surat,158,6,97,11,13,13,11/30/2018 0:00
Tapi,185,5,46,5,22,19,11/30/2018 0:00
The Dangs,99,3,38,4,5,12,11/30/2018 0:00
Ahmedabad,288,19,23,33,31,47,11/30/2018 0:00
Ahmedabad,285,24,14,57,26,48,11/30/2018 0:00
Amreli,200,14,61,7,33,34,11/30/2018 0:00
Anand,129,5,65,8,16,14,11/30/2018 0:00
Banaskantha,119,3,44,4,20,30,11/30/2018 0:00
Banaskantha,141,5,30,14,26,26,11/30/2018 0:00
Bhavnagar,129,6,81,8,8,13,11/30/2018 0:00
Botad,145,5,84,7,16,13,11/30/2018 0:00
Dahod,258,0,160,15,21,18,11/30/2018 0:00
Gandhinagar,169,7,79,9,20,21,11/30/2018 0:00
Jamnagar,158,10,93,2,13,16,11/30/2018 0:00
Mahisagar,184,4,84,9,22,21,11/30/2018 0:00
Rajkot,138,2,95,3,12,13,11/30/2018 0:00
Surendranagar,124,4,71,5,28,10,11/30/2018 0:00
Ahmedabad,353,20,39,45,28,71,11/30/2018 0:00
Ahmedabad,253,29,15,23,32,52,11/30/2018 0:00
Devbhumi-Dwarka,154,9,72,2,10,17,11/30/2018 0:00
Gir Somnath,184,5,97,7,27,25,11/30/2018 0:00
Jamnagar,130,6,66,3,12,14,11/30/2018 0:00
Kachchh,120,3,81,1,6,10,11/30/2018 0:00
Narmada,147,3,81,3,14,10,11/30/2018 0:00
Navsari,139,12,28,19,20,13,11/30/2018 0:00
Surat,186,2,108,8,21,24,11/30/2018 0:00
Tapi,162,6,43,3,6,20,11/30/2018 0:00
Ahmedabad,339,19,35,45,25,69,11/30/2018 0:00
Amreli,123,8,69,2,9,12,11/30/2018 0:00
Amreli,164,15,77,11,19,16,11/30/2018 0:00
Bharuch,133,0,85,5,11,12,11/30/2018 0:00
Botad,159,4,109,5,20,7,11/30/2018 0:00
Dahod,324,10,123,25,26,34,11/30/2018 0:00
Devbhumi-Dwarka,93,8,32,2,10,21,11/30/2018 0:00
Gandhinagar,148,7,79,11,15,17,11/30/2018 0:00
Morbi,84,1,43,5,8,10,11/30/2018 0:00
Navsari,225,13,64,11,30,29,11/30/2018 0:00
Sabarkantha,150,13,61,5,33,22,11/30/2018 0:00
Ahmedabad,416,32,59,44,33,55,11/30/2018 0:00
Ahmedabad,287,23,36,28,31,46,11/30/2018 0:00
Ahmedabad,280,21,37,27,17,43,11/30/2018 0:00
Chhotaudepur,223,7,100,4,24,21,11/30/2018 0:00
Chhotaudepur,124,7,62,7,18,12,11/30/2018 0:00
Chhotaudepur,165,5,78,10,13,16,11/30/2018 0:00
Gandhinagar,108,0,37,4,25,16,11/30/2018 0:00
Gir Somnath,174,6,113,2,19,14,11/30/2018 0:00
Kheda,164,3,80,10,27,18,11/30/2018 0:00
Mahesana,146,4,44,8,31,43,11/30/2018 0:00
Surendranagar,205,7,98,5,60,18,11/30/2018 0:00
Valsad,188,11,59,4,17,17,11/30/2018 0:00
Valsad,128,7,31,6,35,19,11/30/2018 0:00
Ahmedabad,277,29,27,20,13,61,11/30/2018 0:00
Ahmedabad,302,29,31,36,26,44,11/30/2018 0:00
Amreli,125,3,98,0,6,5,11/30/2018 0:00
Amreli,170,6,101,2,22,22,11/30/2018 0:00
Aravalli,115,6,67,6,19,2,11/30/2018 0:00
Gir Somnath,91,5,66,2,2,9,11/30/2018 0:00
Kheda,118,1,67,5,15,13,11/30/2018 0:00
Panchmahals,194,4,88,13,20,22,11/30/2018 0:00
Patan,126,4,86,3,11,11,11/30/2018 0:00
Rajkot,100,8,41,5,14,4,11/30/2018 0:00
Surat,228,13,30,27,23,43,11/30/2018 0:00
Ahmedabad,214,15,31,20,27,47,11/30/2018 0:00
Bharuch,244,3,94,13,27,54,11/30/2018 0:00
Bhavnagar,135,3,78,3,13,9,11/30/2018 0:00
Chhotaudepur,246,3,123,9,22,27,11/30/2018 0:00
Dahod,140,1,80,4,10,17,11/30/2018 0:00
Gandhinagar,212,2,86,6,32,33,11/30/2018 0:00
Gandhinagar,133,14,26,15,20,31,11/30/2018 0:00
Mahisagar,86,2,38,1,15,12,11/30/2018 0:00
Panchmahals,206,3,98,7,38,25,11/30/2018 0:00
Panchmahals,183,0,97,7,22,32,11/30/2018 0:00
Surat,129,4,62,2,8,33,11/30/2018 0:00
Surendranagar,38,1,20,0,4,4,11/30/2018 0:00
Vadodara,218,15,31,21,29,41,11/30/2018 0:00
Anand,132,7,14,12,47,28,11/30/2018 0:00
Banaskantha,57,1,18,4,12,9,11/30/2018 0:00
Chhotaudepur,178,2,118,4,18,13,11/30/2018 0:00
Chhotaudepur,170,3,99,7,13,14,11/30/2018 0:00
Gir Somnath,216,8,127,3,32,30,11/30/2018 0:00
Junagadh,211,17,93,6,22,33,11/30/2018 0:00
Kachchh,84,4,54,4,3,7,11/30/2018 0:00
Morbi,94,1,53,1,9,13,11/30/2018 0:00
Navsari,218,9,66,18,38,29,11/30/2018 0:00
Panchmahals,194,6,64,8,23,44,11/30/2018 0:00
Surat,177,3,67,4,21,20,11/30/2018 0:00
Amreli,146,9,102,4,12,4,11/30/2018 0:00
Aravalli,143,3,67,11,12,15,11/30/2018 0:00
Bhavnagar,120,9,62,5,16,10,11/30/2018 0:00
Dahod,243,4,115,13,14,39,11/30/2018 0:00
Dahod,248,3,133,15,16,28,11/30/2018 0:00
Gir Somnath,139,11,55,7,19,18,11/30/2018 0:00
Jamnagar,107,1,56,8,14,5,11/30/2018 0:00
Kheda,151,2,81,1,33,12,11/30/2018 0:00
Mahesana,115,1,25,1,13,59,11/30/2018 0:00
Navsari,215,9,40,13,19,48,11/30/2018 0:00
Navsari,195,5,64,14,22,27,11/30/2018 0:00
Panchmahals,168,5,82,7,22,19,11/30/2018 0:00
Tapi,170,4,46,7,12,19,11/30/2018 0:00
The Dangs,131,3,51,5,15,21,11/30/2018 0:00
Vadodara,177,1,80,3,37,18,11/30/2018 0:00
Ahmedabad,283,26,21,33,26,63,11/30/2018 0:00
Ahmedabad,119,5,58,9,23,7,11/30/2018 0:00
Anand,156,6,67,8,23,26,11/30/2018 0:00
Anand,121,2,92,4,6,3,11/30/2018 0:00
Dahod,222,4,117,12,21,22,11/30/2018 0:00
Gandhinagar,201,11,22,10,52,40,11/30/2018 0:00
Mahesana,195,3,42,9,41,77,11/30/2018 0:00
Mahesana,134,2,55,2,22,41,11/30/2018 0:00
Mahisagar,200,8,105,1,45,21,11/30/2018 0:00
Narmada,173,1,124,5,15,11,11/30/2018 0:00
Navsari,159,3,36,14,27,26,11/30/2018 0:00
Panchmahals,190,5,76,11,38,21,11/30/2018 0:00
Patan,87,3,30,1,14,29,11/30/2018 0:00
Surat,229,7,87,10,39,24,11/30/2018 0:00
Surat,302,22,52,15,29,63,11/30/2018 0:00
Ahmedabad,241,22,10,23,49,53,11/30/2018 0:00
Ahmedabad,162,4,131,1,14,8,11/30/2018 0:00
Anand,182,5,128,3,18,9,11/30/2018 0:00
Aravalli,164,7,27,7,54,20,11/30/2018 0:00
Banaskantha,88,3,51,6,12,9,11/30/2018 0:00
Banaskantha,126,1,73,6,12,20,11/30/2018 0:00
Bhavnagar,193,4,131,9,17,16,11/30/2018 0:00
Dahod,242,1,148,9,22,14,11/30/2018 0:00
Dahod,208,1,90,6,30,38,11/30/2018 0:00
Junagadh,186,13,71,13,19,22,11/30/2018 0:00
Narmada,241,5,77,10,34,47,11/30/2018 0:00
Patan,115,9,35,11,22,18,11/30/2018 0:00
Surat,193,0,86,3,47,20,11/30/2018 0:00
Surat,117,7,11,10,14,29,11/30/2018 0:00
Valsad,202,7,89,8,9,24,11/30/2018 0:00
Valsad,146,4,25,21,22,17,11/30/2018 0:00
Ahmedabad,308,24,47,27,30,43,11/30/2018 0:00
Aravalli,210,7,80,7,45,21,11/30/2018 0:00
Gir Somnath,135,2,66,10,25,17,11/30/2018 0:00
Jamnagar,182,12,100,4,19,15,11/30/2018 0:00
Kachchh,105,4,48,4,10,15,11/30/2018 0:00
Mahesana,122,4,62,4,23,17,11/30/2018 0:00
Porbandar,110,6,56,5,10,7,11/30/2018 0:00
Rajkot,130,8,63,1,34,6,11/30/2018 0:00
Surendranagar,93,1,65,2,8,7,11/30/2018 0:00
Surendranagar,101,6,43,4,29,6,11/30/2018 0:00
Tapi,219,14,63,7,18,24,11/30/2018 0:00
Vadodara,170,2,111,2,25,11,11/30/2018 0:00
Dahod,133,1,65,11,22,17,11/30/2018 0:00
Kachchh,174,1,92,8,24,25,11/30/2018 0:00
Narmada,191,3,135,1,17,19,11/30/2018 0:00
Navsari,181,4,63,10,28,19,11/30/2018 0:00
Panchmahals,90,0,42,3,18,11,11/30/2018 0:00
Rajkot,49,2,33,1,2,6,11/30/2018 0:00
Surat,257,7,88,7,48,42,11/30/2018 0:00
Surendranagar,83,2,51,1,10,12,11/30/2018 0:00
Tapi,252,8,62,15,23,30,11/30/2018 0:00
Tapi,191,5,57,10,22,23,11/30/2018 0:00
Vadodara,196,19,40,14,30,27,11/30/2018 0:00
Ahmedabad,237,14,9,45,33,53,11/30/2018 0:00
Ahmedabad,345,24,49,31,31,52,11/30/2018 0:00
Ahmedabad,164,6,84,12,31,14,11/30/2018 0:00
Amreli,165,5,114,2,14,13,11/30/2018 0:00
Dahod,188,5,94,6,26,17,11/30/2018 0:00
Gandhinagar,150,11,81,7,13,9,11/30/2018 0:00
Gir Somnath,148,10,78,3,19,16,11/30/2018 0:00
Kachchh,126,1,87,8,10,11,11/30/2018 0:00
Mahesana,174,11,23,14,42,49,11/30/2018 0:00
Mahisagar,128,1,87,3,8,10,11/30/2018 0:00
Navsari,112,6,11,15,9,22,11/30/2018 0:00
Rajkot,154,4,81,4,19,13,11/30/2018 0:00
The Dangs,117,4,46,4,6,19,11/30/2018 0:00
Amreli,121,6,70,0,15,9,11/30/2018 0:00
Banaskantha,156,4,82,3,14,16,11/30/2018 0:00
Botad,97,5,73,2,2,5,11/30/2018 0:00
Dahod,296,5,121,16,17,38,11/30/2018 0:00
Dahod,225,0,127,11,7,26,11/30/2018 0:00
Junagadh,173,10,73,9,18,20,11/30/2018 0:00
Junagadh,277,16,118,8,53,40,11/30/2018 0:00
Rajkot,176,8,46,13,18,31,11/30/2018 0:00
Surat,179,6,16,22,33,46,11/30/2018 0:00
Surat,256,8,51,9,25,42,11/30/2018 0:00
Surendranagar,97,1,65,4,10,6,11/30/2018 0:00
Valsad,152,8,66,3,12,10,11/30/2018 0:00
Ahmedabad,305,30,28,51,28,62,11/30/2018 0:00
Bhavnagar,191,28,12,22,17,46,11/30/2018 0:00
Dahod,199,5,114,1,23,25,11/30/2018 0:00
Kachchh,95,6,30,5,13,11,11/30/2018 0:00
Kheda,181,3,124,9,17,9,11/30/2018 0:00
Mahisagar,154,6,86,1,15,16,11/30/2018 0:00
Mahisagar,160,3,92,6,11,20,11/30/2018 0:00
Narmada,268,12,70,10,23,54,11/30/2018 0:00
Panchmahals,162,3,92,5,20,12,11/30/2018 0:00
Porbandar,177,18,21,4,34,43,11/30/2018 0:00
Porbandar,134,12,43,10,12,14,11/30/2018 0:00
Rajkot,190,14,75,8,28,15,11/30/2018 0:00
Rajkot,139,10,14,5,14,44,11/30/2018 0:00
Surat,267,22,18,21,40,69,11/30/2018 0:00
The Dangs,93,2,36,6,2,9,11/30/2018 0:00
Vadodara,130,5,68,5,13,15,11/30/2018 0:00
Vadodara,153,7,19,15,23,26,11/30/2018 0:00
Valsad,152,7,31,4,60,18,11/30/2018 0:00
Ahmedabad,289,28,11,31,36,78,11/30/2018 0:00
Ahmedabad,139,8,65,5,36,9,11/30/2018 0:00
Anand,150,10,67,11,10,12,11/30/2018 0:00
Chhotaudepur,181,1,102,2,13,10,11/30/2018 0:00
Mahisagar,157,8,72,6,14,24,11/30/2018 0:00
Porbandar,116,7,37,7,13,13,11/30/2018 0:00
Surat,214,10,27,10,60,40,11/30/2018 0:00
Vadodara,209,12,96,9,20,17,11/30/2018 0:00
Vadodara,205,10,25,20,35,53,11/30/2018 0:00
Valsad,106,3,17,8,28,18,11/30/2018 0:00
Ahmedabad,290,25,29,29,16,60,11/30/2018 0:00
Ahmedabad,243,22,35,18,27,41,11/30/2018 0:00
Ahmedabad,85,2,36,4,22,7,11/30/2018 0:00
Anand,133,5,61,9,23,15,11/30/2018 0:00
Chhotaudepur,169,1,94,12,6,9,11/30/2018 0:00
Junagadh,323,35,57,28,42,42,11/30/2018 0:00
Kachchh,68,4,24,5,2,6,11/30/2018 0:00
Mahisagar,147,5,94,7,15,7,11/30/2018 0:00
Narmada,199,3,117,1,13,20,11/30/2018 0:00
Porbandar,1,0,0,0,0,0,11/30/2018 0:00
Rajkot,163,3,72,2,41,14,11/30/2018 0:00
Rajkot,263,16,42,12,45,75,11/30/2018 0:00
Rajkot,338,27,17,39,52,94,11/30/2018 0:00
Surat,106,5,30,5,26,19,11/30/2018 0:00
Vadodara,207,8,58,23,40,32,11/30/2018 0:00
Ahmedabad,237,12,22,31,17,24,11/30/2018 0:00
Ahmedabad,228,18,8,21,43,57,11/30/2018 0:00
Ahmedabad,246,21,20,26,18,63,11/30/2018 0:00
Ahmedabad,283,22,22,34,31,47,11/30/2018 0:00
Ahmedabad,110,4,43,3,35,6,11/30/2018 0:00
Amreli,106,5,63,1,12,7,11/30/2018 0:00
Anand,172,5,79,7,30,27,11/30/2018 0:00
Banaskantha,180,3,117,5,21,16,11/30/2018 0:00
Banaskantha,122,1,82,3,11,8,11/30/2018 0:00
Banaskantha,105,0,59,3,6,28,11/30/2018 0:00
Bharuch,138,3,76,3,22,17,11/30/2018 0:00
Bhavnagar,191,21,9,20,17,50,11/30/2018 0:00
Devbhumi-Dwarka,117,10,47,5,11,14,11/30/2018 0:00
Gandhinagar,114,3,15,6,33,18,11/30/2018 0:00
Junagadh,0,0,0,0,0,0,11/30/2018 0:00
Mahisagar,144,7,64,13,9,19,11/30/2018 0:00
Navsari,188,12,53,12,21,21,11/30/2018 0:00
Rajkot,157,10,55,10,36,20,11/30/2018 0:00
Surat,211,4,67,7,59,18,11/30/2018 0:00
Surat,281,10,25,21,38,77,11/30/2018 0:00
Vadodara,175,10,86,4,30,25,11/30/2018 0:00
Vadodara,141,5,67,4,18,14,11/30/2018 0:00
Vadodara,166,3,74,5,31,18,11/30/2018 0:00
Valsad,95,3,38,1,15,14,11/30/2018 0:00
Ahmedabad,244,24,12,45,14,47,11/30/2018 0:00
Ahmedabad,207,21,15,23,27,48,11/30/2018 0:00
Aravalli,148,6,79,9,12,13,11/30/2018 0:00
Bhavnagar,97,6,47,3,12,12,11/30/2018 0:00
Devbhumi-Dwarka,117,1,52,0,23,14,11/30/2018 0:00
Kachchh,95,4,53,6,9,8,11/30/2018 0:00
Mahisagar,156,4,71,7,25,26,11/30/2018 0:00
Panchmahals,170,3,88,1,30,15,11/30/2018 0:00
Amreli,203,6,125,5,28,21,11/30/2018 0:00
Chhotaudepur,198,4,98,3,22,15,11/30/2018 0:00
Chhotaudepur,196,5,122,6,26,17,11/30/2018 0:00
Jamnagar,110,12,41,6,10,9,11/30/2018 0:00
Kachchh,88,6,23,3,7,27,11/30/2018 0:00
Kachchh,85,2,42,2,2,8,11/30/2018 0:00
Kachchh,141,2,60,9,15,36,11/30/2018 0:00
Rajkot,275,31,31,14,47,75,11/30/2018 0:00
Rajkot,288,15,49,21,42,68,11/30/2018 0:00
Surat,302,12,54,25,42,53,11/30/2018 0:00
Valsad,204,4,57,9,10,25,11/30/2018 0:00
Valsad,201,9,86,11,20,20,11/30/2018 0:00
Valsad,128,2,46,3,11,18,11/30/2018 0:00
Ahmedabad,250,15,39,18,55,43,11/30/2018 0:00
Amreli,200,15,94,10,24,34,11/30/2018 0:00
Chhotaudepur,100,1,42,7,13,10,11/30/2018 0:00
Junagadh,186,11,106,3,17,18,11/30/2018 0:00
Kachchh,104,4,51,5,5,11,11/30/2018 0:00
Sabarkantha,147,3,97,8,3,16,11/30/2018 0:00
Tapi,125,3,65,1,16,9,11/30/2018 0:00
The Dangs,159,7,51,12,21,9,11/30/2018 0:00
Ahmedabad,261,22,18,26,15,52,11/30/2018 0:00
Bharuch,231,3,74,4,18,76,11/30/2018 0:00
Botad,114,7,56,7,18,12,11/30/2018 0:00
Kachchh,114,8,67,4,6,7,11/30/2018 0:00
Mahisagar,165,4,77,13,17,16,11/30/2018 0:00
Sabarkantha,225,4,165,3,20,15,11/30/2018 0:00
Vadodara,195,7,30,15,37,41,11/30/2018 0:00
Anand,172,6,103,8,16,14,11/30/2018 0:00
Junagadh,173,7,69,10,13,17,11/30/2018 0:00
Kachchh,184,6,68,12,34,28,11/30/2018 0:00
Kheda,116,5,60,9,9,10,11/30/2018 0:00
Narmada,143,6,46,13,21,19,11/30/2018 0:00
Narmada,134,0,52,6,8,36,11/30/2018 0:00
Narmada,246,6,61,6,38,59,11/30/2018 0:00
Surat,85,3,25,3,26,9,11/30/2018 0:00
Surat,264,14,67,16,11,49,11/30/2018 0:00
Surat,211,8,80,8,17,22,11/30/2018 0:00
Ahmedabad,239,13,18,29,44,47,11/30/2018 0:00
Ahmedabad,258,37,9,30,23,46,11/30/2018 0:00
Ahmedabad,137,6,82,0,21,16,11/30/2018 0:00
Banaskantha,122,2,52,2,28,22,11/30/2018 0:00
Dahod,258,5,148,9,21,32,11/30/2018 0:00
Jamnagar,81,6,19,3,10,14,11/30/2018 0:00
Panchmahals,118,0,49,6,15,19,11/30/2018 0:00
Surat,217,5,59,13,22,18,11/30/2018 0:00
Ahmedabad,231,14,36,24,20,35,11/30/2018 0:00
Ahmedabad,253,30,6,29,31,63,11/30/2018 0:00
Ahmedabad,249,17,37,30,26,37,11/30/2018 0:00
Anand,179,8,69,12,18,18,11/30/2018 0:00
Aravalli,132,4,66,9,10,15,11/30/2018 0:00
Bharuch,101,1,57,2,17,8,11/30/2018 0:00
Bharuch,141,2,88,4,13,22,11/30/2018 0:00
Bhavnagar,259,24,46,28,40,57,11/30/2018 0:00
Bhavnagar,138,10,77,5,19,7,11/30/2018 0:00
Devbhumi-Dwarka,63,3,23,3,10,10,11/30/2018 0:00
Gir Somnath,151,7,96,3,9,27,11/30/2018 0:00
Junagadh,197,7,74,8,27,38,11/30/2018 0:00
Kheda,166,7,63,12,29,24,11/30/2018 0:00
Kheda,195,18,31,14,36,39,11/30/2018 0:00
Kheda,182,6,98,10,14,20,11/30/2018 0:00
Rajkot,212,5,94,10,32,27,11/30/2018 0:00
Surat,127,4,80,4,6,13,11/30/2018 0:00
Surat,195,6,35,17,33,37,11/30/2018 0:00
Surat,244,8,60,8,37,49,11/30/2018 0:00
Surat,112,1,13,13,24,21,11/30/2018 0:00
Ahmedabad,287,29,52,25,22,33,12/31/2018 0:00
Bharuch,289,2,85,9,13,152,12/31/2018 0:00
Jamnagar,45,2,16,0,10,7,12/31/2018 0:00
Surat,149,1,59,7,17,22,12/31/2018 0:00
Surat,239,4,49,12,34,38,12/31/2018 0:00
Vadodara,179,5,81,12,27,18,12/31/2018 0:00
Gandhinagar,194,11,17,19,55,37,12/31/2018 0:00
Patan,87,1,68,3,3,4,12/31/2018 0:00
Patan,73,4,31,4,5,14,12/31/2018 0:00
Surat,227,20,21,23,34,62,12/31/2018 0:00
Vadodara,194,6,48,15,40,28,12/31/2018 0:00
Valsad,156,7,13,7,60,24,12/31/2018 0:00
Ahmedabad,298,25,20,29,23,73,12/31/2018 0:00
Ahmedabad,283,31,19,31,65,44,12/31/2018 0:00
Banaskantha,96,3,57,2,13,14,12/31/2018 0:00
Bharuch,93,0,52,3,23,6,12/31/2018 0:00
Jamnagar,215,16,64,13,26,35,12/31/2018 0:00
Jamnagar,228,18,38,22,22,57,12/31/2018 0:00
Vadodara,119,7,10,19,17,24,12/31/2018 0:00
Ahmedabad,242,27,11,31,16,41,12/31/2018 0:00
Bharuch,183,3,70,6,21,35,12/31/2018 0:00
Botad,114,3,79,6,6,6,12/31/2018 0:00
Kachchh,135,4,82,4,6,10,12/31/2018 0:00
Mahisagar,144,7,77,7,11,12,12/31/2018 0:00
Sabarkantha,239,8,187,4,13,12,12/31/2018 0:00
Vadodara,238,6,37,23,55,49,12/31/2018 0:00
Amreli,118,7,64,4,12,15,12/31/2018 0:00
Bharuch,190,3,53,5,21,67,12/31/2018 0:00
Dahod,148,1,86,7,4,12,12/31/2018 0:00
Kheda,141,7,56,13,21,19,12/31/2018 0:00
Kheda,143,9,42,8,32,26,12/31/2018 0:00
Morbi,177,8,66,3,39,20,12/31/2018 0:00
Morbi,201,11,75,7,38,29,12/31/2018 0:00
Rajkot,0,0,0,0,0,0,12/31/2018 0:00
Surendranagar,90,7,28,9,11,15,12/31/2018 0:00
Ahmedabad,258,20,32,32,32,54,12/31/2018 0:00
Banaskantha,174,1,48,4,8,102,12/31/2018 0:00
Banaskantha,159,2,99,2,8,29,12/31/2018 0:00
Jamnagar,83,6,13,13,4,22,12/31/2018 0:00
Patan,101,1,46,8,13,9,12/31/2018 0:00
Sabarkantha,150,10,72,7,17,25,12/31/2018 0:00
Surendranagar,102,5,56,1,10,17,12/31/2018 0:00
Surendranagar,133,4,81,3,26,8,12/31/2018 0:00
Anand,117,11,43,4,20,13,12/31/2018 0:00
Banaskantha,131,4,75,5,7,21,12/31/2018 0:00
Bhavnagar,123,15,49,10,15,14,12/31/2018 0:00
Mahesana,175,2,25,8,18,87,12/31/2018 0:00
Patan,138,7,60,1,19,36,12/31/2018 0:00
Rajkot,68,3,37,3,7,6,12/31/2018 0:00
Sabarkantha,210,9,75,19,35,27,12/31/2018 0:00
Sabarkantha,126,13,51,10,12,19,12/31/2018 0:00
Vadodara,224,9,80,16,30,34,12/31/2018 0:00
Anand,147,4,97,8,12,12,12/31/2018 0:00
Junagadh,160,2,55,4,13,28,12/31/2018 0:00
Kachchh,242,4,92,10,29,70,12/31/2018 0:00
Kheda,123,4,79,6,4,8,12/31/2018 0:00
Narmada,121,0,44,6,14,17,12/31/2018 0:00
Narmada,150,3,55,1,19,47,12/31/2018 0:00
Narmada,219,3,46,13,37,39,12/31/2018 0:00
Surat,82,4,32,1,16,14,12/31/2018 0:00
Surat,259,17,71,12,32,41,12/31/2018 0:00
Surat,152,3,64,4,13,18,12/31/2018 0:00
Ahmedabad,134,8,43,10,24,13,12/31/2018 0:00
Anand,163,5,89,12,11,19,12/31/2018 0:00
Banaskantha,162,1,66,3,18,63,12/31/2018 0:00
Bhavnagar,149,6,88,4,15,19,12/31/2018 0:00
Dahod,152,2,94,0,9,18,12/31/2018 0:00
Gandhinagar,162,14,30,19,36,24,12/31/2018 0:00
Gandhinagar,151,9,53,9,28,14,12/31/2018 0:00
Kachchh,69,1,46,3,2,2,12/31/2018 0:00
Kheda,127,6,76,7,11,10,12/31/2018 0:00
Tapi,162,6,71,5,13,24,12/31/2018 0:00
Vadodara,119,5,28,11,26,13,12/31/2018 0:00
Ahmedabad,225,23,3,20,34,54,12/31/2018 0:00
Amreli,91,6,19,2,20,20,12/31/2018 0:00
Banaskantha,113,1,26,5,20,42,12/31/2018 0:00
Dahod,113,3,57,3,10,9,12/31/2018 0:00
Patan,113,1,96,0,7,5,12/31/2018 0:00
Porbandar,218,14,76,3,5,86,12/31/2018 0:00
Sabarkantha,137,12,67,6,15,10,12/31/2018 0:00
Surat,114,4,71,5,13,9,12/31/2018 0:00
Vadodara,257,26,14,32,38,82,12/31/2018 0:00
Valsad,120,4,63,0,5,6,12/31/2018 0:00
Amreli,143,8,76,7,10,13,12/31/2018 0:00
